Native Language,Speaker ID,Speaker gender,Role,File number_version,Task name,Task version,Time,Level,Pair,Length of file,PT_col_R1,PT_col_R2,PT_col_AVE,PT_TC_R1,PT_TC_R2,PT_TC_AVE,PT_sty_R1,PT_sty_R2,PT_sty_AVE,Total /12
Arabic,299,M,B,21198&21299_S.txt,Sleep Clinic,B,Sp10wk5,2,36,1:03,2,1,1.5,2,1,1.5,2,3,2.5,5.5
Arabic,274,M,B,21429&21274_S.txt,Sleep Clinic,B,Sp10wk5,2,37,2:48,3,3,3,3,3,3,4,4,4,10
Arabic,429,M,A,21429&21274_S.txt,Sleep Clinic,B,Sp10wk5,2,37,2:48,3,3,3,3,3,3,4,4,4,10
Arabic,95,M,A,22095&22511_S.txt,Sleep Clinic,C,Sum10wk5,2,1,2:38,3.5,3,3.25,3,3,3,3.5,3,3.25,9.5
Chinese,511,F,B,22095&22511_S.txt,Sleep Clinic,C,Sum10wk5,2,1,2:38,3.5,3,3.25,3,3,3,3.5,3,3.25,9.5
Arabic,43,M,B,22174&22043_S.txt,Sleep Clinic,C,Sum10wk5,2,2,3:04,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,9.5
Arabic,174,M,A,22174&22043_S.txt,Sleep Clinic,C,Sum10wk5,2,2,3:04,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,9.5
Arabic,315,M,A,22315&22331_S.txt,Sleep Clinic,C,Sum10wk5,2,3,2:46,4,3.5,3.75,3.5,3.5,3.5,3,3.5,3.25,10.5
Arabic,331,M,B,22315&22331_S.txt,Sleep Clinic,C,Sum10wk5,2,3,2:46,4,4,4,3.5,3.5,3.5,3,3,3,10.5
Arabic,259,M,A,21259&21436_S.txt,Sleep Clinic,C,Sum10wk5,2,38,2:11,2,2,2,3,3,3,2,3,2.5,7.5
Korean,436,F,B,21259&21436_S.txt,Sleep Clinic,C,Sum10wk5,2,38,2:11,3,3,3,3,3,3,4,4,4,10
Arabic,390,F,A,21390&21592_S.txt,Sleep Clinic,C,Sum10wk5,2,39,3:13,2,3,2.5,4,3,3.5,4,4,4,10
Arabic,592,M,B,21390&21592_S.txt,Sleep Clinic,C,Sum10wk5,2,39,3:13,2,3,2.5,4,3,3.5,4,4,4,10
Arabic,37,M,A,05037&05246_A.txt,Spanking,S,F09wk15,1,54,2:56,4,4,4,4,4,3,3,3,3,10
Arabic,246,M,B,05037&05246_A.txt,Spanking,S,F09wk15,1,54,2:56,4,4,4,4,4,3,3,3,3,10
Arabic,264,F,A,05264&05465_A.txt,Spanking,S,F09wk15,1,55,3:03,4,4,4,4,4,3,3,3,3,10
Chinese,465,F,B,05264&05465_A.txt,Spanking,S,F09wk15,1,55,3:03,4,4,4,4,4,3,3,3,3,10
Chinese,376,F,A,05376&05380_A.txt,Spanking,S,F09wk15,1,56,3:05,2,2,2,2,1,2,3,3,3,7
Chinese,380,M,B,05376&05380_A.txt,Spanking,S,F09wk15,1,56,3:05,2,2,2,2,1,2,3,3,3,7
Arabic,126,M,B,05375&05126_A.txt,Spanking,S,F09wk15,1,57,3:08,4,4,4,4,4,3,4,4,4,11
Arabic,375,M,A,05375&05126_A.txt,Spanking,S,F09wk15,1,57,3:08,4,4,4,4,4,3,4,4,4,11
Arabic,134,F,A,05134&05372_A.txt,Spanking,S,F09wk15,1,58,2:39,3,3,3,3,3,2.5,4,4,4,9.5
Arabic,372,F,B,05134&05372_A.txt,Spanking,S,F09wk15,1,58,2:39,3,3,3,3,3,2.5,4,4,4,9.5
Arabic,89,M,B,05094&05089_A.txt,Spanking,S,F09wk15,1,59,3:03,2,2,2,2,2,2,2,2,2,6
Arabic,94,M,A,05094&05089_A.txt,Spanking,S,F09wk15,1,59,3:03,2,2,2,2,2,2,2,2,2,6
Arabic,150,M,B,05195&05150_A.txt,Spanking,S,F09wk15,1,60,3:09,3,3,3,4,4,3,3,4,3.5,9.5
Arabic,195,M,A,05195&05150_A.txt,Spanking,S,F09wk15,1,60,3:09,3,3,3,4,4,3,3,4,3.5,9.5
Arabic,283,M,B,05373&05283_A.txt,Spanking,S,F09wk15,1,61,3:12,2,3,2.5,2,2,2,4,4,4,8.5
Arabic,373,M,A,05373&05283_A.txt,Spanking,S,F09wk15,1,61,3:12,2,3,2.5,2,2,2,4,4,4,8.5
Arabic,335,F,A,05430&05335_A.txt,Spanking,S,F09wk15,1,62,3:08,3,2,2.5,2,2,2,2,3,2.5,7
Arabic,430,M,B,05430&05335_A.txt,Spanking,S,F09wk15,1,62,3:08,3,2,2.5,2,2,2,2,3,2.5,7
Arabic,181,M,A,05181&05186_A.txt,Spanking,S,F10wk15,1,63,2:42,4,4,4,4,4,3,4,4,4,11
Arabic,186,M,B,05181&05186_A.txt,Spanking,S,F10wk15,1,63,2:42,4,4,4,4,4,3,4,4,4,11
Arabic,492,M,A,05492&05506_A.txt,Spanking,S,F10wk15,1,64,2:57,4,4,4,4,4,3,4,3,3.5,10.5
Arabic,506,M,B,05492&05506_A.txt,Spanking,S,F10wk15,1,64,2:57,4,4,4,4,4,3,4,3,3.5,10.5
Arabic,116,M,B,05521&05116_A.txt,Spanking,S,F10wk15,1,65,2:59,3,3,3,4,4,3,4,4,4,10
Arabic,521,M,A,05521&05116_A.txt,Spanking,S,F10wk15,1,65,2:59,3,3,3,3,4,2.5,4,4,4,9.5
Arabic,196,M,A,05196&05371_A.txt,Spanking,S,F10wk15,1,66,3:02,4,4,4,4,4,3,4,4,4,11
Arabic,371,M,B,05196&05371_A.txt,Spanking,S,F10wk15,1,66,3:02,4,4,4,4,4,3,4,4,4,11
Chinese,365,F,B,05365&05510_A.txt,Spanking,S,F10wk15,1,67,2:57,2,2,2,1,1,1.5,1,0,0.5,4
Chinese,510,M,A,05365&05510_A.txt,Spanking,S,F10wk15,1,67,2:57,2,2,2,1,1,1.5,0,1,0.5,4
Chinese,177,M,A,05564&05177_A.txt,Spanking,S,F10wk15,1,68,3:11,4,4,4,3,3,2.5,4,4,4,10.5
Chinese,564,M,B,05564&05177_A.txt,Spanking,S,F10wk15,1,68,3:11,4,4,4,3,3,2.5,4,4,4,10.5
Arabic,36,M,A,05036&05125_D.txt,Spanking,S,F10wk15,1,69,2:52,3.5,3.5,3.5,3.5,3.5,2.75,3.5,3.5,3.5,9.75
Arabic,125,M,B,05036&05125_D.txt,Spanking,S,F10wk15,1,69,2:52,3.5,3.5,3.5,3.5,3.5,2.75,3.5,3.5,3.5,9.75
Arabic,136,M,B,05136&05570_D.txt,Spanking,S,F10wk15,1,70,2:50,3.5,3.5,3.5,3.5,3.5,2.75,4,3.5,3.75,10
Arabic,570,M,A,05136&05570_D.txt,Spanking,S,F10wk15,1,70,2:50,3.5,3.5,3.5,3.5,3.5,2.75,4,3.5,3.75,10
Arabic,200,M,A,05323&05200_D.txt,Spanking,S,F10wk15,1,71,2:45,4,4,4,4,4,3,3.5,4,3.75,10.75
Arabic,323,M,B,05323&05200_D.txt,Spanking,S,F10wk15,1,71,2:45,4,4,4,4,4,3,3.5,4,3.75,10.75
Arabic,41,M,A,05041&05096_D.txt,Spanking,S,F10wk15,1,72,3:00,3,3.5,3.25,3.5,4,2.75,4,4,4,10
Arabic,96,M,B,05041&05096_D.txt,Spanking,S,F10wk15,1,72,3:00,3,3.5,3.25,3.5,4,2.75,4,4,4,10
Arabic,250,F,A,05493&05250_D.txt,Spanking,S,F10wk15,1,73,2:40,3,3,3,2.5,3,2.25,3,3,3,8.25
Arabic,493,M,B,05493&05250_D.txt,Spanking,S,F10wk15,1,73,2:40,3,3,3,2.5,3,2.25,3,3,3,8.25
Arabic,4,M,A,05004&05292_D.txt,Spanking,S,F10wk15,1,74,3:02,3,3,3,3.5,3.5,2.75,3.5,3.5,3.5,9.25
Arabic,292,M,B,05004&05292_D.txt,Spanking,S,F10wk15,1,74,3:02,3,3,3,3.5,3.5,2.75,3.5,3.5,3.5,9.25
Arabic,207,M,B,05207&05415_D.txt,Spanking,S,Sp11wk15,1,75,2:24,2.5,2.5,2.5,2.5,3,2.25,2.5,2.5,2.5,7.25
Chinese,415,F,A,05207&05415_D.txt,Spanking,S,Sp11wk15,1,75,2:24,2.5,2.5,2.5,2.5,2.5,2.25,2.5,3,2.75,7.5
Arabic,326,M,A,05326&05575_D.txt,Spanking,S,Sp11wk15,1,76,2:11,3.5,3.5,3.5,3.5,3.5,2.75,3.5,3.5,3.5,9.75
Chinese,575,M,B,05326&05575_D.txt,Spanking,S,Sp11wk15,1,76,2:11,3.5,3.5,3.5,3.5,3.5,2.75,3.5,3.5,3.5,9.75
Arabic,431,M,A,05466&05431_D.txt,Spanking,S,Sp11wk15,1,77,2:30,3,3,3,3,3,2.5,2.5,2.5,2.5,8
Chinese,466,M,B,05466&05431_D.txt,Spanking,S,Sp11wk15,1,77,2:30,3,3,3,3,3,2.5,2.5,2.5,2.5,8
Arabic,69,M,A,05069&05147_D.txt,Spanking,S,Sp11wk15,1,78,2:49,3,3,3,3.5,3.5,2.75,3,3,3,8.75
Arabic,147,M,B,05069&05147_D.txt,Spanking,S,Sp11wk15,1,78,2:49,3,3,3,3.5,3.5,2.75,3,3,3,8.75
Arabic,80,M,A,05080&05268_D.txt,Spanking,S,Sp11wk15,1,79,2:04,3.5,3.5,3.5,3,2.5,2.5,3,3,3,9
Arabic,268,M,B,05080&05268_D.txt,Spanking,S,Sp11wk15,1,79,2:04,3.5,3,3.25,3,3,2.5,3,3,3,8.75
Arabic,135,M,A,05153&05135_D.txt,Spanking,S,Sp11wk15,1,80,2:34,2.5,2.5,2.5,3,3,2.5,3,3,3,8
Arabic,153,M,B,05153&05135_D.txt,Spanking,S,Sp11wk15,1,80,2:34,2.5,2.5,2.5,3,3,2.5,3,3,3,8
Arabic,338,M,B,05475&05338_D.txt,Spanking,S,Sp11wk15,1,81,2:58,3,3,3,3,3,2.5,3,2.5,2.75,8.25
Arabic,475,M,A,05475&05338_D.txt,Spanking,S,Sp11wk15,1,81,2:58,3,3,3,3,3,2.5,3,2.5,2.75,8.25
Arabic,329,M,B,05329&05336_D.txt,Spanking,S,Sp11wk15,1,82,3:15,3,3.5,3.25,3,3,2.5,3,3,3,8.75
Arabic,336,M,A,05329&05336_D.txt,Spanking,S,Sp11wk15,1,82,3:15,3.5,3,3.25,3,3,2.5,3,3,3,8.75
Arabic,242,M,B,05242&05593_D.txt,Spanking,S,Sp11wk15,1,83,1:52,3.5,3.5,3.5,2.5,2.5,2.25,3.5,3,3.25,9
Arabic,197,M,B,05201&05197_D.txt,Spanking,S,Sp11wk15,1,83,2:51,4,4,4,3.5,3.5,2.75,3.5,4,3.75,10.5
Arabic,201,M,A,05201&05197_D.txt,Spanking,S,Sp11wk15,1,84,2:51,4,4,4,3.5,3.5,2.75,3.5,4,3.75,10.5
Arabic,92,M,A,05092&05211_D.txt,Spanking,S,Sp11wk15,1,84,2:48,3,3,3,3,2.5,2.5,3,3,3,8.5
Arabic,211,M,B,05092&05211_D.txt,Spanking,S,Sp11wk15,1,85,2:48,3,3,3,2.5,2.5,2.25,3,3,3,8.25
Arabic,73,M,A,05073&05111_D.txt,Spanking,S,Sp11wk15,1,85,2:52,2.5,2.5,2.5,2.5,2.5,2.25,2.5,2.5,2.5,7.25
Arabic,111,M,B,05073&05111_D.txt,Spanking,S,Sp11wk15,1,86,2:52,2.5,2.5,2.5,2.5,2.5,2.25,2.5,2.5,2.5,7.25
Arabic,233,M,B,05269&05233_D.txt,Spanking,S,Sp11wk15,1,86,2:54,3,3,3,2.5,2.5,2.25,2.5,2.5,2.5,7.75
Arabic,269,M,A,05269&05233_D.txt,Spanking,S,Sp11wk15,1,87,2:54,3,3,3,2.5,2.5,2.25,2.5,2.5,2.5,7.75
Arabic,97,M,B,05279&05097_D.txt,Spanking,S,Sp11wk15,1,87,2:23,3.5,3.5,3.5,3.5,3.5,2.75,3.5,3.5,3.5,9.75
Arabic,279,M,A,05279&05097_D.txt,Spanking,S,Sp11wk15,1,88,2:23,3.5,3.5,3.5,3.5,3.5,2.75,3.5,3.5,3.5,9.75
Arabic,100,M,A,05225&05100_D.txt,Spanking,S,Sp11wk15,1,88,2:38,3.5,3,3.25,3.5,3.5,2.75,3.5,3.5,3.5,9.5
Arabic,225,M,B,05225&05100_D.txt,Spanking,S,Sp11wk15,1,89,2:38,3.5,3,3.25,3.5,3.5,2.75,3.5,3.5,3.5,9.5
Arabic,39,M,B,05199&05039_D.txt,Spanking,S,Sp11wk15,1,89,3:12,3,3,3,3.5,3.5,2.75,4,4,4,9.75
Arabic,199,M,A,05199&05039_D.txt,Spanking,S,Sp11wk15,1,90,3:12,3,3,3,3.5,3.5,2.75,4,4,4,9.75
Arabic,593,M,A,05242&05593_D.txt,Spanking,S,Sp11wk15,1,90,1:52,3.5,3.5,3.5,2.5,2.5,2.25,3.5,3,3.25,9
Arabic,144,M,B,05324&05144_C.txt,Spanking,S,Sp11wk15,1,91,2:57,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,324,M,A,05324&05144_C.txt,Spanking,S,Sp11wk15,1,91,2:57,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,48,M,A,05048&05258_C.txt,Spanking,S,Sp11wk15,1,92,1:58,4,4,4,3,3,2.5,3,3,3,9.5
Arabic,258,M,B,05048&05258_C.txt,Spanking,S,Sp11wk15,1,92,1:58,4,4,4,3,3,2.5,3,3,3,9.5
Arabic,52,M,A,22052&22546_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,4,3:04,3.5,3.5,3.5,3,3.5,3.25,3.5,4,3.75,10.5
Chinese,546,M,B,22052&22546_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,4,3:04,3,3,3,3.5,3.5,3.5,2.5,2.5,2.5,9
Arabic,71,M,A,22298&22071_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,5,2:58,3.5,3,3.25,3,2.5,2.75,3,2.5,2.75,8.75
Arabic,298,M,B,22298&22071_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,5,2:58,3.5,3,3.25,3,2.5,2.75,3,2.5,2.75,8.75
Arabic,98,M,B,22213&22098_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,6,3:14,3,3,3,3.5,3.5,3.5,4,4,4,10.5
Arabic,213,M,A,22213&22098_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,6,3:14,3,3.5,3.25,3.5,3,3.25,4,4,4,10.5
Arabic,50,M,A,22050&22347_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,7,2:59,4,3.5,3.75,2.5,2.5,2.5,3,2.5,2.75,9
Pashto,347,F,B,22050&22347_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,7,2:59,3.5,3.5,3.5,3,3.5,3.25,3.5,4,3.75,10.5
Arabic,47,M,B,22320&22047_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,8,3:03,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,9.5
Arabic,320,M,A,22320&22047_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,8,3:03,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,9.5
Arabic,1,M,A,22001&22113_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,9,2:52,3.5,3,3.25,3,3.5,3.25,3.5,3.5,3.5,10
Arabic,113,M,B,22001&22113_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,9,2:52,3.5,3,3.25,3,3.5,3.25,3.5,3.5,3.5,10
Arabic,247,M,B,22247&22551_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,10,3:18,3,2.5,2.75,2.5,2.5,2.5,3,3,3,8.25
Arabic,551,M,A,22247&22551_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,10,3:18,3,2.5,2.75,2.5,2.5,2.5,3,3,3,8.25
Arabic,110,M,B,22110&22476_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,11,3:19,4,4,4,3.5,4,3.75,3.5,3.5,3.5,11.25
Arabic,476,M,A,22110&22476_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,11,3:19,4,4,4,3.5,4,3.75,3.5,3.5,3.5,11.25
Arabic,150,M,B,22179&22150_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,12,3:19,3.5,3.5,3.5,3,2.5,2.75,2.5,2.5,2.5,8.75
Arabic,179,M,A,22179&22150_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,12,3:19,3.5,3.5,3.5,3,2.5,2.75,2.5,2.5,2.5,8.75
Chinese,397,F,A,22397&22459_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,13,3:03,3.5,3.5,3.5,3,3,3,2,2.5,2.25,8.75
Chinese,459,F,B,22397&22459_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,13,3:03,3.5,3.5,3.5,3,3,3,2,2.5,2.25,8.75
Arabic,228,M,B,22389&22228_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,14,2:18,3.5,3,3.25,3,3,3,3.5,3.5,3.5,9.75
Chinese,389,F,A,22389&22228_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,14,2:18,3.5,3,3.25,3,3,3,3.5,3.5,3.5,9.75
Arabic,51,M,B,22139&22051_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,15,3:26,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,139,M,A,22139&22051_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,15,3:26,4,4,4,4,4,4,4,4,4,12
Arabic,268,M,B,22431&22268_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,16,2:48,3.5,3.5,3.5,3.5,3.5,3.5,2,2,2,9
Arabic,431,M,A,22431&22268_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,16,2:48,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,11
Arabic,96,M,B,22096&22364_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,17,3:08,4,4,4,3.5,3.5,3.5,2,2,2,9.5
Arabic,364,M,A,22096&22364_S.txt,SWOT-Selecting a Store to Open,S,F12wk14,2,17,3:08,4,4,4,3.5,3.5,3.5,3,3,3,10.5
Arabic,136,M,A,22292&22136_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,18,2:29,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,9.5
Arabic,292,M,B,22292&22136_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,18,2:29,2.5,2.5,2.5,3.5,3.5,3.5,2.5,2,2.25,8.25
Arabic,69,M,A,22069&22147_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,19,4:01,3.5,3,3.25,3,3,3,2.5,2.5,2.5,8.75
Arabic,147,M,B,22069&22147_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,19,4:01,3.5,3,3.25,3,3,3,3,3,3,9.25
Arabic,80,M,A,22080&22207_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,20,2:01,4,4,4,4,4,4,2.5,2.5,2.5,10.5
Arabic,207,M,B,22080&22207_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,20,2:01,4,4,4,4,4,4,3,3,3,11
Arabic,317,M,B,22319&22317_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,21,3:12,3.5,3.5,3.5,4,4,4,2,2,2,9.5
Arabic,319,M,A,22319&22317_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,21,3:12,3.5,3.5,3.5,4,4,4,4,3.5,3.75,11.25
Chinese,415,F,A,22415&22466_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,22,4:50,3,3,3,3.5,3.5,3.5,2,2,2,8.5
Chinese,466,M,B,22415&22466_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,22,4:50,3,3,3,3.5,3.5,3.5,2,2,2,8.5
Arabic,250,F,A,22250&22493_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,23,0:03,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,11
Arabic,493,M,B,22250&22493_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,23,0:03,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,11
Arabic,135,M,A,22135&22326_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,24,3:23,2.5,3,2.75,3,2.5,2.75,2.5,2.5,2.5,8
Arabic,326,M,B,22135&22326_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,24,3:23,2.5,3,2.75,3,2.5,2.75,3,2,2.5,8
Arabic,153,M,B,22527&22153_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,25,3:44,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3,2.75,9.75
Arabic,527,M,A,22527&22153_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,25,3:44,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3,2.75,9.75
Arabic,90,M,B,22092&22090_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,26,3:01,4,3.5,3.75,4,3.5,3.75,3.5,3,3.25,10.75
Arabic,92,M,A,22092&22090_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,26,3:01,3.5,4,3.75,3.5,4,3.75,4,3.5,3.75,11.25
Arabic,111,M,B,22111&22155_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,27,2:56,3.5,3.5,3.5,3,3.5,3.25,2.5,2,2.25,9
Arabic,155,M,A,22111&22155_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,27,2:56,3.5,3.5,3.5,3.5,3,3.25,2.5,3,2.75,9.5
Arabic,269,M,A,22269&22329_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,28,3:21,3,3,3,3.5,3.5,3.5,3,3,3,9.5
Arabic,329,M,B,22269&22329_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,28,3:21,3,3,3,3.5,3.5,3.5,3,3,3,9.5
Arabic,97,M,A,22279&22097_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,29,3:04,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,10
Arabic,279,M,B,22279&22097_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,29,3:04,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.25,10.25
Arabic,338,M,A,22338&22423_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,30,3:03,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,11
Arabic,423,M,B,22338&22423_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,30,3:03,3,3,3,3.5,3.5,3.5,3,3,3,9.5
Arabic,100,M,B,22225&22100_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,31,3:04,4,4,4,4,4,4,4,4,4,12
Arabic,225,M,A,22225&22100_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,31,3:04,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,39,M,A,22199&22039_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,32,2:57,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,199,M,B,22199&22039_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,32,2:57,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,200,M,B,22200&22323_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,33,3:02,3,3,3,4,4,4,3,3.5,3.25,10.25
Arabic,323,M,A,22200&22323_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,33,3:02,3,3,3,4,4,4,2.5,3,2.75,9.75
Arabic,73,M,A,22575&22073_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,34,3:10,4,4,4,4,4,4,4,4,4,12
Chinese,575,M,B,22575&22073_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,34,3:10,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,36,M,B,22036&22125_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,35,3:09,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,125,M,A,22036&22125_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,35,3:09,4,4,4,4,4,4,3.5,3.5,3.5,11.5
Arabic,84,M,A,22084&22320_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,36,3:16,4,3.5,3.75,4,3.5,3.75,4,3.5,3.75,11.25
Arabic,320,M,B,22084&22320_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,36,3:16,4,4,4,4,4,4,4,3.5,3.75,11.75
Arabic,40,F,A,22040&22352_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,37,2:31,4,4,4,3.5,3.5,3.5,4,4,4,11.5
Arabic,352,F,B,22040&22352_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,37,2:31,4,4,4,3.5,3.5,3.5,4,4,4,11.5
Arabic,422,F,A,22466&22422_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,38,2:37,3,3,3,3.5,3.5,3.5,3,3.5,3.25,9.75
Chinese,466,M,B,22466&22422_S.txt,SWOT-Selecting a Store to Open,S,Sp12wk14,2,38,2:37,3,3,3,3.5,3.5,3.5,3,3.5,3.25,9.75
Arabic,186,M,A,23186&23187_A.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,1,2:45,4,4,4,3,4,3.5,4,4,4,11.5
Arabic,187,M,B,23186&23187_A.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,1,2:45,4,4,4,3,4,3.5,3,3,3,10.5
Arabic,334,M,B,23334&23539_A.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,2,3:02,4,4,4,3,3,3,3,3,3,10
Chinese,539,F,A,23334&23539_A.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,2,3:02,3,3,3,3,3,3,3,3,3,9
Arabic,254,M,A,23325&23254_A.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,3,2:58,3,3,3,3,3,3,3,4,3.5,9.5
Arabic,325,M,B,23325&23254_A.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,3,2:58,2,2,2,2,2,2,3,2,2.5,6.5
Arabic,231,M,A,22232&22231_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,39,3:13,4,4,4,4,4,4,4,3.5,3.75,11.75
Arabic,232,M,B,22232&22231_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,39,3:13,4,3.5,3.75,4,3.5,3.75,4,4,4,11.5
Arabic,229,M,A,22230&22229_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,40,2:44,4,4,4,3.5,3.5,3.5,4,4,4,11.5
Arabic,230,F,B,22230&22229_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,40,2:44,4,4,4,3.5,3.5,3.5,4,4,4,11.5
Arabic,127,M,B,22127&22303_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,41,2:44,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.25,10.25
Arabic,303,M,A,22127&22303_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,41,2:44,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.25,10.25
Arabic,19,F,B,22019&22180_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,42,3:01,4,3.5,3.75,4,4,4,4,4,4,11.75
Arabic,180,M,A,22019&22180_S.txt,SWOT-Selecting a Store to Open,S,Sum12wk10,2,42,3:01,4,3.5,3.75,4,4,4,4,4,4,11.75
