sure sure   [1]
also its   [1]
powerful   [1]
okay bye   [1]
also we   [1]
i didnt   [1]
oh god   [1]
stay   [1]
ah cool   [1]
best   [1]
whats happened   [1]
welcome a   [1]
good mor   [1]
yeah welcome   [1]
he is   [1]
youre nineteen   [1]
and i   [1]
no change   [1]
thumbs down   [1]
down yeah   [1]
thats dissapointing   [1]
also that   [1]
oh thats   [1]
shoes   [1]
yeah so   [1]
so thats   [1]
ahh   [1]
ah terrible   [1]
so y   [1]
not   [1]
yeah unrespectful   [1]
uhhuh so   [1]
spinning finger   [1]
but in   [1]
oh great   [1]
other foreigners   [1]
in america   [1]
and di   [1]
um hm   [1]
uh ha   [1]
task three   [1]
like you   [1]
level a   [1]
no why   [1]
hey b   [1]
oh hi   [1]
which presentation   [1]
second   [1]
ok b   [1]
ok why   [1]
my nta   [1]
watermelon oh   [1]
its its   [1]
nothing   [1]
level b   [1]
levelb   [1]
uh alright   [1]
yeah please   [1]
usa   [1]
immigrants   [1]
seven   [1]
ok goodbye   [1]
oh unfortunately   [1]
location uhhuh   [1]
hey a   [1]
ah thats   [1]
its work   [1]
what what   [1]
on   [1]
mmhm yes   [1]
salon   [1]
okay welcome   [1]
sorry uh   [1]
othman   [1]
lets start   [1]
mmhmm uh   [1]
mmhm   [1]
for them   [1]
thanks a   [1]
pretty good   [1]
be great   [1]
im   [1]
oh yes   [1]
okay hm   [1]
office   [1]
business plan   [1]
yeah y   [1]
with sarah   [1]
preserved area   [1]
i finish   [1]
what beijing   [1]
beijing   [1]
you think   [1]
great wall   [1]
so dr   [1]
uh illness   [1]
uh so   [1]
nta nta   [1]
horrible   [1]
oh nta   [1]
schscholarship   [1]
make plan   [1]
new bed   [1]
sick   [1]
a student   [1]
likeinsomnia   [1]
am wow   [1]
thats thats   [1]
for one   [1]
disord   [1]
so he   [1]
he he   [1]
his name   [1]
insomnia   [1]
linda   [1]
events   [1]
ata   [1]
at seven   [1]
two a   [1]
every night   [1]
he need   [1]
the woman   [1]
mm okay   [1]
ahhh spanking   [1]
yeah hi   [1]
today   [1]
say yours   [1]
in future   [1]
its dangerous   [1]
same your   [1]
at night   [1]
successful   [1]
then   [1]
yeah great   [1]
enough money   [1]
has   [1]
or craigslist   [1]
its popular   [1]
nta yeah   [1]
opportunities   [1]
well okay   [1]
store   [1]
about it   [1]
this place   [1]
thats better   [1]
good luck   [1]
yeah that   [1]
very close   [1]
threat yeah   [1]
uh thanks   [1]
uh hello   [1]
its hard   [1]
serve hamburger   [1]
yes yeah   [1]
and the   [1]
burger   [1]
manager   [1]
k   [1]
arabic restaurant   [1]
if   [1]
oh its   [1]
we   [1]
for example   [1]
thats bad   [1]
great yes   [1]
hi adnan   [1]
for clothes   [1]
high cost   [1]
okay right   [1]
my idea   [1]
drive through   [1]
in flagstaff   [1]
international food   [1]
absolutely right   [1]
doesnt have   [1]
twenty bucks   [1]
lets   [1]
so uh   [1]
modern   [1]
good thing   [1]
im student   [1]
nta light   [1]
simple life   [1]
yeah mr   [1]
yeah its   [1]
good yes   [1]
its comfortable   [1]
