original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Thanks,
,,,,,,,,,,,,,So…,
,,,,,,,,,,,,,Yeah, accept accent,
,,,,,,,,,,,,,B,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Uh, ok, thank you very much
,,,,,,,,,,,,,,Thanks
,,,,,,,,,,,,,,So…
,,,,,,,,,,,,,,Yeah, accept accent
,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,Yes
05004&05292_D.txt,A004,B292,15,19,1,1,3,3,1,1,2,,,
,,,,,,,,,,,, Uh, Ok,,
,,,,,,,,,,,,, Thank you very much,
,,,,,,,,,,,,,, Uh, Ok
,,,,,,,,,,,,,,Thank you very much
05012&05310_B.txt,A310,B012,10,10,1,1,3,3,2,1,3,,,
,,,,,,,,,,,, until five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, until five p
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Thank you
05036&05125_D.txt,A125,B036,16,18,1,1,4,4,3,5,8,,,
,,,,,,,,,,,, Thank you man,,
,,,,,,,,,,,,Thanks doctor,,
,,,,,,,,,,,,So because that,,
,,,,,,,,,,,,, Mm, hmm,
,,,,,,,,,,,,,You're welcome,
,,,,,,,,,,,,,Our patient,
,,,,,,,,,,,,,Bye-bye,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,, Thanks doctor
,,,,,,,,,,,,,,Mm, hmm
,,,,,,,,,,,,,,So because that
,,,,,,,,,,,,,,Thank you man
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Our patient
,,,,,,,,,,,,,,Bye-bye
,,,,,,,,,,,,,,Ok
05037&05246_A.txt,A246,B037,36,22,1,1,4,4,7,4,11,,,
,,,,,,,,,,,, and uh seven a,,
,,,,,,,,,,,,Okay my patient NTA fat,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,What about your uh patient?,,
,,,,,,,,,,,,Okay thank you,,
,,,,,,,,,,,,What about your uh patient,,
,,,,,,,,,,,,until seven a,,
,,,,,,,,,,,,, What about your patient?,
,,,,,,,,,,,,,Uh uh,
,,,,,,,,,,,,,Thank you,
,,,,,,,,,,,,,He's graduate student,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Uh uh
,,,,,,,,,,,,,,and uh seven a
,,,,,,,,,,,,,,What about your patient?
,,,,,,,,,,,,,,Okay my patient NTA fat
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,What about your uh patient?
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,What about your uh patient
,,,,,,,,,,,,,,until seven a
,,,,,,,,,,,,,,He's graduate student
05041&05096_D.txt,A096,B041,26,23,1,1,4,4,8,5,13,,,
,,,,,,,,,,,, I,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,Mm, hmm,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,What about Jack?,,
,,,,,,,,,,,,Hi,,
,,,,,,,,,,,,Cindy gain-uh gains uh twenty …20 pounds,,
,,,,,,,,,,,,Hmmm,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,And What about Cindy?,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,OK, hi A,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,, I
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Mm, hmm
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,And What about Cindy?
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,What about Jack?
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Cindy gain-uh gains uh twenty …20 pounds
,,,,,,,,,,,,,,Hmmm
,,,,,,,,,,,,,,OK, hi A
,,,,,,,,,,,,,,Ok
05048&05258_C.txt,A258,B048,30,25,1,1,4,4,6,8,14,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Thank you Dr,,
,,,,,,,,,,,,Umm,,
,,,,,,,,,,,,That bad for him,,
,,,,,,,,,,,,That's horrible,,
,,,,,,,,,,,,B,,
,,,,,,,,,,,,, Yeah, hi doctor A,
,,,,,,,,,,,,,Ah, ok,
,,,,,,,,,,,,,Thank you Dr,
,,,,,,,,,,,,,What's up?,
,,,,,,,,,,,,,A,
,,,,,,,,,,,,,Oh, oh yeah,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Yeah, hi doctor A
,,,,,,,,,,,,,,Thank you Dr
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Ah, ok
,,,,,,,,,,,,,,Thank you Dr
,,,,,,,,,,,,,,What's up?
,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,That bad for him
,,,,,,,,,,,,,,Umm
,,,,,,,,,,,,,,Oh, oh yeah
,,,,,,,,,,,,,,That's horrible
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,B
05056&05201_B.txt,A201,B056,13,12,1,1,4,4,4,2,6,,,
,,,,,,,,,,,, Uh-huh okay cool,,
,,,,,,,,,,,,Okay thank you,,
,,,,,,,,,,,,until five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,She,
,,,,,,,,,,,,,, until five p
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,She
,,,,,,,,,,,,,,Uh-huh okay cool
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Okay thank you
05069&05147_D.txt,A147,B069,29,29,1,1,3,3,5,9,13,,,
,,,,,,,,,,,, Nice to meet you,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,What about you?,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,, Uh-huh,
,,,,,,,,,,,,,So what about Cindy?,
,,,,,,,,,,,,,Uh hi A,
,,,,,,,,,,,,,All the day,
,,,,,,,,,,,,,And what about you?,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,So let's help Jack,
,,,,,,,,,,,,,So let's,
,,,,,,,,,,,,,Ok A,
,,,,,,,,,,,,,, Nice to meet you
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,So let's
,,,,,,,,,,,,,,Uh hi A
,,,,,,,,,,,,,,So what about Cindy?
,,,,,,,,,,,,,,All the day
,,,,,,,,,,,,,,And what about you?
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,So let's help Jack
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Ok A
05072&05169_B.txt,A169,B072,12,9,1,1,4,4,2,1,3,,,
,,,,,,,,,,,, and uh to five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,, Thank you so much,
,,,,,,,,,,,,,, and uh to five p
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Thank you so much
05073&05111_D.txt,A111,B073,22,14,1,1,3,3,2,2,4,,,
,,,,,,,,,,,, Very good,,
,,,,,,,,,,,,Thank you very much,,
,,,,,,,,,,,,, Uh…,
,,,,,,,,,,,,,Uh, ok uh can go the exercise on gym,
,,,,,,,,,,,,,, Thank you very much
,,,,,,,,,,,,,,Very good
,,,,,,,,,,,,,,Uh…
,,,,,,,,,,,,,,Uh, ok uh can go the exercise on gym
05077&05307_B.txt,A077,B307,9,9,1,1,4,4,3,0,3,,,
,,,,,,,,,,,, Uh huh,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,until five a,,
,,,,,,,,,,,,,, Uh huh
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,until five a
05079&05034_B.txt,A079,B034,12,12,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,until five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,, Thank a lot-thanks a lot,
,,,,,,,,,,,,,, Thank a lot-thanks a lot
,,,,,,,,,,,,,,until five p
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Thank you
05080&05268_D.txt,A268,B080,14,14,1,1,4,4,2,1,3,,,
,,,,,,,,,,,, Ok,,
,,,,,,,,,,,,Ok no problem,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Ok
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Ok no problem
05085&05196_C.txt,A196,B085,19,13,1,1,3,3,3,0,3,,,
,,,,,,,,,,,, And also easy to meet, to make uh fast food and … cheap so like McDonalds and … KFC … cheaper fast food in America,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,,, And also easy to meet, to make uh fast food and … cheap so like McDonalds and … KFC … cheaper fast food in America
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Thank you
05086&05443_C.txt,A443,B086,29,15,1,1,1,1,6,1,7,,,
,,,,,,,,,,,, Uh, ok,,
,,,,,,,,,,,,Cardiovascular,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,Talk about yours,,
,,,,,,,,,,,,And uh … sleep only 4 hours,,
,,,,,,,,,,,,Let's talk first about the Geoff,,
,,,,,,,,,,,,, Yes,
,,,,,,,,,,,,,, Uh, ok
,,,,,,,,,,,,,,Cardiovascular
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Talk about yours
,,,,,,,,,,,,,,And uh … sleep only 4 hours
,,,,,,,,,,,,,,Let's talk first about the Geoff
,,,,,,,,,,,,,,Yes
05092&05211_D.txt,A211,B092,26,19,1,1,3,3,4,2,6,,,
,,,,,,,,,,,, Uh-huh,,
,,,,,,,,,,,,I'm good,,
,,,,,,,,,,,,Ok, thank you,,
,,,,,,,,,,,,Uh today B and NTA we uh we going to talk about our patient our problem for our patient,,
,,,,,,,,,,,,, Ok,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,I'm good
,,,,,,,,,,,,,,Ok, thank you
,,,,,,,,,,,,,,Uh today B and NTA we uh we going to talk about our patient our problem for our patient
,,,,,,,,,,,,,,Ok
05094&05089_A.txt,A089,B094,22,19,1,1,2,2,3,3,6,,,
,,,,,,,,,,,, until seven p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Okay thank you,,
,,,,,,,,,,,,, Maybe,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Actually his own diet but just doesn't lose his weight,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Maybe
,,,,,,,,,,,,,,Actually his own diet but just doesn't lose his weight
,,,,,,,,,,,,,,until seven p
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Okay thank you
05102&05474_A.txt,A474,B102,15,9,1,1,3,3,2,1,3,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,, Okay thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,m
05106&05157_B.txt,A106,B157,21,16,1,1,4,4,4,1,5,,,
,,,,,,,,,,,, Uh yeah okay thank you,,
,,,,,,,,,,,,until five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,How about you?,,
,,,,,,,,,,,,, I disagree,
,,,,,,,,,,,,,, until five p
,,,,,,,,,,,,,,How about you?
,,,,,,,,,,,,,,I disagree
,,,,,,,,,,,,,,Uh yeah okay thank you
,,,,,,,,,,,,,,m
05109&05057_A.txt,A057,B109,16,14,1,1,4,4,5,3,8,,,
,,,,,,,,,,,, Okay thank you for your opinion,,
,,,,,,,,,,,,and until seven p,,
,,,,,,,,,,,,I know,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Really?,,
,,,,,,,,,,,,, What about your patient?,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,So let's take Joe,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Okay thank you for your opinion
,,,,,,,,,,,,,,and until seven p
,,,,,,,,,,,,,,What about your patient?
,,,,,,,,,,,,,,I know
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,So let's take Joe
,,,,,,,,,,,,,,Really?
05115&05530_A.txt,A530,B115,17,16,1,1,4,4,5,0,5,,,
,,,,,,,,,,,, Hi,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,What about you?,,
,,,,,,,,,,,,Yeah, yeah,,
,,,,,,,,,,,,,, Hi
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Yeah, yeah
05124&05412_C.txt,A412,B124,31,22,1,1,3,4,7,5,11,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,- uh ok,,
,,,,,,,,,,,,Wow,,
,,,,,,,,,,,,Hi,,
,,,,,,,,,,,,And his obesity running in his, her family,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,Heart disease?,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,We -,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Yeah because …,
,,,,,,,,,,,,,Because and me and -,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,We -
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Yeah because …
,,,,,,,,,,,,,,- uh ok
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,Because and me and -
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,And his obesity running in his, her family
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Heart disease?
05126&05148_A.txt,A148,B126,6,6,1,1,2,2,2,0,2,,,
,,,,,,,,,,,, m,,
,,,,,,,,,,,,My FA uh student A,,
,,,,,,,,,,,,,, m
,,,,,,,,,,,,,,My FA uh student A
05131&05161_C.txt,A161,B131,18,20,1,1,3,3,4,4,7,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,My name's A,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,Uh pas – speaker… uh task 1,,
,,,,,,,,,,,,, - Oh, ok,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,Student uh B and uh… task 1,
,,,,,,,,,,,,,Geoff,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Geoff
,,,,,,,,,,,,,,- Oh, ok
,,,,,,,,,,,,,,My name's A
,,,,,,,,,,,,,,Student uh B and uh… task 1
,,,,,,,,,,,,,,Uh pas – speaker… uh task 1
05132&05377_A.txt,A132,B377,20,12,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, m,,
,,,,,,,,,,,,Yes, yes yes,,
,,,,,,,,,,,,and end at 7:00p,,
,,,,,,,,,,,,, Eat healthy food and take care of her,
,,,,,,,,,,,,,, Eat healthy food and take care of her
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Yes, yes yes
,,,,,,,,,,,,,,and end at 7:00p
05134&05372_A.txt,A372,B134,15,9,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Goodbye,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Goodbye
,,,,,,,,,,,,,,Thank you
05136&05570_D.txt,A136,B570,36,38,1,1,4,4,9,10,17,,,
,,,,,,,,,,,, What about you?,,
,,,,,,,,,,,,I'm good,,
,,,,,,,,,,,,Uh why?,,
,,,,,,,,,,,,Right,,
,,,,,,,,,,,,Ok, uh,,
,,,,,,,,,,,,But that,,
,,,,,,,,,,,,Ok uh,,
,,,,,,,,,,,,Jack,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Uh-huh,
,,,,,,,,,,,,,Wow,
,,,,,,,,,,,,,Because he can't sleep more than 4 hours a night because of his weight,
,,,,,,,,,,,,,Also sits at desk all day,
,,,,,,,,,,,,,Yeah, right but…otherwise at hi-in his family uh NTA help him,
,,,,,,,,,,,,,Jack,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,I'm good
,,,,,,,,,,,,,,Right
,,,,,,,,,,,,,,Uh why?
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,Ok, uh
,,,,,,,,,,,,,,Because he can't sleep more than 4 hours a night because of his weight
,,,,,,,,,,,,,,Also sits at desk all day
,,,,,,,,,,,,,,Yeah, right but…otherwise at hi-in his family uh NTA help him
,,,,,,,,,,,,,,But that
,,,,,,,,,,,,,,Jack
,,,,,,,,,,,,,,Ok uh
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,Oh
05140&05152_B.txt,A140,B152,19,18,1,1,4,4,3,4,7,,,
,,,,,,,,,,,, until five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Uh thank you so much, B,,
,,,,,,,,,,,,, Very good,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Thank you, A,
,,,,,,,,,,,,,, Very good
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,until five p
,,,,,,,,,,,,,,Uh thank you so much, B
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Thank you, A
,,,,,,,,,,,,,,What about you?
05141&05434_A.txt,A434,B141,12,12,1,1,1,1,3,3,6,,,
,,,,,,,,,,,, Okay thank you,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Mmhmm,,
,,,,,,,,,,,,, and he he can't play he can't play with his friend uh his friend always,
,,,,,,,,,,,,,Uh obesity uh obesity runs uh in his family,
,,,,,,,,,,,,,Thanks,
,,,,,,,,,,,,,, Mmhmm
,,,,,,,,,,,,,,and he he can't play he can't play with his friend uh his friend always
,,,,,,,,,,,,,,Thanks
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,Uh obesity uh obesity runs uh in his family
05153&05135_D.txt,A153,B135,9,9,1,1,3,3,1,1,2,,,
,,,,,,,,,,,, Let's go with the Jack,,
,,,,,,,,,,,,, Ok, thanks,
,,,,,,,,,,,,,, Ok, thanks
,,,,,,,,,,,,,,Let's go with the Jack
05169&05196_C.txt,A196,B169,14,12,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, Uh… she uh … she can't stop eat uh from vending machine,,
,,,,,,,,,,,,What about you?,,
,,,,,,,,,,,,Obs – obesity run in her family,,
,,,,,,,,,,,,, I agree,
,,,,,,,,,,,,,, I agree
,,,,,,,,,,,,,,Uh… she uh … she can't stop eat uh from vending machine
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Obs – obesity run in her family
05170&05093_A.txt,A170,B093,11,8,1,1,4,4,1,1,2,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you
05181&05186_A.txt,A186,B181,28,25,1,1,4,4,4,6,10,,,
,,,,,,,,,,,, Thank you very much,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,to until seven p,,
,,,,,,,,,,,,One of my patient,,
,,,,,,,,,,,,, Uh-huh,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Uh huh,
,,,,,,,,,,,,,A lot of uh what, exercise or studies?,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,Thank you A, thank you,
,,,,,,,,,,,,,, Thank you very much
,,,,,,,,,,,,,,One of my patient
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,to until seven p
,,,,,,,,,,,,,,A lot of uh what, exercise or studies?
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Thank you A, thank you
05188&05361_C.txt,A361,B188,26,21,1,1,3,3,10,4,13,,,
,,,,,,,,,,,, Yeah, for sure,,
,,,,,,,,,,,,That's all,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,So … so yeah,,
,,,,,,,,,,,,There is uh Ju – Jucqueline – Jacqueline,,
,,,,,,,,,,,,Hi,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Uh,,
,,,,,,,,,,,,So,,
,,,,,,,,,,,,Thank you guys,,
,,,,,,,,,,,,, Ok?,
,,,,,,,,,,,,,Ok,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,Oh, ok,
,,,,,,,,,,,,,, Yeah, for sure
,,,,,,,,,,,,,,Ok?
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,That's all
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,So … so yeah
,,,,,,,,,,,,,,There is uh Ju – Jucqueline – Jacqueline
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Oh, ok
,,,,,,,,,,,,,,So
,,,,,,,,,,,,,,Thank you guys
05195&05150_A.txt,A150,B195,14,12,1,1,3,3,3,2,5,,,
,,,,,,,,,,,, until seven p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,, Okay thanks,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Okay thanks
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,until seven p
,,,,,,,,,,,,,,m
05196&05371_A.txt,A371,B196,15,9,1,1,4,4,2,1,3,,,
,,,,,,,,,,,, until seven p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,, Thank you so much,
,,,,,,,,,,,,,, until seven p
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,Thank you so much
05199&05039_D.txt,A039,B199,12,21,1,1,3,3,2,5,7,,,
,,,,,,,,,,,, and,,
,,,,,,,,,,,,And uh,,
,,,,,,,,,,,,, Long hours, yeah,
,,,,,,,,,,,,,Yeah, thanks A,
,,,,,,,,,,,,,and eat junk food as well,
,,,,,,,,,,,,,Yeah, yeah, yeah,
,,,,,,,,,,,,,So yeah,
,,,,,,,,,,,,,, Long hours, yeah
,,,,,,,,,,,,,,Yeah, thanks A
,,,,,,,,,,,,,,And uh
,,,,,,,,,,,,,,and
,,,,,,,,,,,,,,and eat junk food as well
,,,,,,,,,,,,,,Yeah, yeah, yeah
,,,,,,,,,,,,,,So yeah
05201&05197_D.txt,A197,B201,21,21,1,1,4,4,5,4,8,,,
,,,,,,,,,,,, With Jack yeah,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Really,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,, Ok,
,,,,,,,,,,,,,With Jack,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,He just four hours sleep,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,With Jack yeah
,,,,,,,,,,,,,,He just four hours sleep
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Really
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,With Jack
,,,,,,,,,,,,,,Oh
05202&05255_B.txt,A202,B255,20,14,1,1,4,4,8,2,10,,,
,,,,,,,,,,,, until five p,,
,,,,,,,,,,,,Why?,,
,,,,,,,,,,,,How about you?,,
,,,,,,,,,,,,Uh she obesity runs in her family,,
,,,,,,,,,,,,Uh,,
,,,,,,,,,,,,That's it,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,I think,,
,,,,,,,,,,,,, Go to the healthy centre?,
,,,,,,,,,,,,,He,
,,,,,,,,,,,,,, until five p
,,,,,,,,,,,,,,He
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,How about you?
,,,,,,,,,,,,,,Go to the healthy centre?
,,,,,,,,,,,,,,Uh she obesity runs in her family
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,That's it
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,I think
05203&05273_A.txt,A273,B203,14,11,1,1,1,1,1,0,1,,,
,,,,,,,,,,,, m,,
,,,,,,,,,,,,,, m
05207&05415_D.txt,A207,B415,6,6,1,1,3,3,0,0,0,,,
05222&05105_A.txt,A222,B105,11,11,1,1,3,3,1,0,1,,,
,,,,,,,,,,,, What about you uh patient?,,
,,,,,,,,,,,,,, What about you uh patient?
05224&05153_B.txt,A153,B224,19,13,1,1,4,4,3,3,6,,,
,,,,,,,,,,,, ‘til five p,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,, Yeah I,
,,,,,,,,,,,,,Thank you,
,,,,,,,,,,,,,Uh student B uh let let me introduce Lou,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Uh student B uh let let me introduce Lou
,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,‘til five p
,,,,,,,,,,,,,,Yeah I
05225&05100_D.txt,A225,B100,12,11,1,1,4,4,2,2,4,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Who…,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Thank you A for help me,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Who…
,,,,,,,,,,,,,,Thank you A for help me
05238&05208_B.txt,A208,B238,25,17,1,1,3,4,5,4,9,,,
,,,,,,,,,,,, Wow,,
,,,,,,,,,,,,Oh my God no no no definitely Lou,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,Well uh uh Cindy uh kind of need that too,,
,,,,,,,,,,,,Okay thank you so much everybody,,
,,,,,,,,,,,,, Not sleep enough,
,,,,,,,,,,,,,Yeah he's professor in university,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Lou Lou he's uh professor the university,
,,,,,,,,,,,,,, Yeah he's professor in university
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Lou Lou he's uh professor the university
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Oh my God no no no definitely Lou
,,,,,,,,,,,,,,Not sleep enough
,,,,,,,,,,,,,,Well uh uh Cindy uh kind of need that too
,,,,,,,,,,,,,,Okay thank you so much everybody
05242&05593_D.txt,A242,B593,5,5,1,1,4,4,0,0,0,,,
05264&05465_A.txt,A465,B264,15,6,1,1,4,4,2,0,2,,,
,,,,,,,,,,,, m,,
,,,,,,,,,,,,until seven a,,
,,,,,,,,,,,,,, m
,,,,,,,,,,,,,,until seven a
05269&05233_D.txt,A233,B269,19,21,1,1,3,3,4,1,5,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,I'm good,,
,,,,,,,,,,,,That's it,,
,,,,,,,,,,,,Hi doctor B,,
,,,,,,,,,,,,, NTA,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Hi doctor B
,,,,,,,,,,,,,,NTA
,,,,,,,,,,,,,,I'm good
,,,,,,,,,,,,,,That's it
05271&05451_A.txt,A271,B451,28,25,1,1,4,4,4,2,6,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,m,,
,,,,,,,,,,,,until 7:00p,,
,,,,,,,,,,,,Okay,,
