original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,,,Thank you A
02100&02575_B.txt,A575,B100,5,3,1,1,3,4,0,0,0,,,
02107&02146_C.txt,A146,B107,13,10,1,1,4,4,6,4,10,,,
,,,,,,,,,,,, Oh really?,,
,,,,,,,,,,,,Nice to meet you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,And uh keep it,,
,,,,,,,,,,,,Yeah yeah,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,, Oh right?,
,,,,,,,,,,,,,Uh so nice to meet you A,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,Why?,
,,,,,,,,,,,,,, Oh really?
,,,,,,,,,,,,,,Nice to meet you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,Oh right?
,,,,,,,,,,,,,,And uh keep it
,,,,,,,,,,,,,,Uh so nice to meet you A
,,,,,,,,,,,,,,Yeah yeah
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,Yes
02108&02076_C.txt,A076,B108,15,15,1,1,4,4,5,7,12,,,
,,,,,,,,,,,, Uh okay,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Mm-hmm, why?,,
,,,,,,,,,,,,That's good,,
,,,,,,,,,,,,Cause,,
,,,,,,,,,,,,, ‘Kay, thank you,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Why?,
,,,,,,,,,,,,,And uh make a bad smell,
,,,,,,,,,,,,,So,
,,,,,,,,,,,,,No,
,,,,,,,,,,,,,And uh spend uh the money,
,,,,,,,,,,,,,, ‘Kay, thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh okay
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,And uh make a bad smell
,,,,,,,,,,,,,,Mm-hmm, why?
,,,,,,,,,,,,,,That's good
,,,,,,,,,,,,,,Cause
,,,,,,,,,,,,,,So
,,,,,,,,,,,,,,No
,,,,,,,,,,,,,,And uh spend uh the money
02116&02102_A.txt,A102,B116,28,25,1,1,4,4,8,8,15,,,
,,,,,,,,,,,, Let's go,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,You know?,,
,,,,,,,,,,,,And any sport uh any supermarket,,
,,,,,,,,,,,,Hi B!,,
,,,,,,,,,,,,This the best sport drink in the world,,
,,,,,,,,,,,,Oh ok,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Come on,
,,,,,,,,,,,,,Come on,
,,,,,,,,,,,,,Hi,
,,,,,,,,,,,,,Oh one dollar only?,
,,,,,,,,,,,,,No,
,,,,,,,,,,,,,I know,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Let's go
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,You know?
,,,,,,,,,,,,,,Come on
,,,,,,,,,,,,,,Come on
,,,,,,,,,,,,,,And any sport uh any supermarket
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Hi B!
,,,,,,,,,,,,,,This the best sport drink in the world
,,,,,,,,,,,,,,Oh ok
,,,,,,,,,,,,,,Oh one dollar only?
,,,,,,,,,,,,,,Ok
,,,,,,,,,,,,,,No
,,,,,,,,,,,,,,I know
,,,,,,,,,,,,,,Yes
02118&02024_B.txt,A024,B118,15,16,1,1,4,4,5,7,12,,,
,,,,,,,,,,,, Uh… uh how about this camera?,,
,,,,,,,,,,,,Of the camera,,
,,,,,,,,,,,,That's cool,,
,,,,,,,,,,,,Hello,,
,,,,,,,,,,,,Really,,
,,,,,,,,,,,,, Please,
,,,,,,,,,,,,,Very very high quality camera,
,,,,,,,,,,,,,Hello A,
,,,,,,,,,,,,,Good good,
,,,,,,,,,,,,,How are going?,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,You mean,
,,,,,,,,,,,,,, Uh… uh how about this camera?
,,,,,,,,,,,,,,Of the camera
,,,,,,,,,,,,,,That's cool
,,,,,,,,,,,,,,Please
,,,,,,,,,,,,,,Very very high quality camera
,,,,,,,,,,,,,,Hello
,,,,,,,,,,,,,,Really
,,,,,,,,,,,,,,Hello A
,,,,,,,,,,,,,,Good good
,,,,,,,,,,,,,,How are going?
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,You mean
02119&02135_B.txt,A135,B119,9,8,1,1,4,4,6,4,9,,,
,,,,,,,,,,,, NTA,,
,,,,,,,,,,,,suggest,,
,,,,,,,,,,,,quit it,,
,,,,,,,,,,,,spend,,
,,,,,,,,,,,,money,,
,,,,,,,,,,,,another hand,,
,,,,,,,,,,,,, quit it and on,
,,,,,,,,,,,,,your,
,,,,,,,,,,,,,money,
,,,,,,,,,,,,,suggest to they people to,
,,,,,,,,,,,,,, your
,,,,,,,,,,,,,,suggest to they people to
,,,,,,,,,,,,,,NTA
,,,,,,,,,,,,,,quit it
,,,,,,,,,,,,,,suggest
,,,,,,,,,,,,,,spend
,,,,,,,,,,,,,,money
,,,,,,,,,,,,,,quit it and on
,,,,,,,,,,,,,,another hand
02120&02277_C.txt,A277,B120,6,3,1,1,2,4,0,0,0,,,
02121&02216_C.txt,A121,B216,10,10,1,1,3,4,2,1,3,,,
